ep (ms);Acc_x;Acc_y;Acc_z;Gyro_x;Gyro_y;Gyro_z;ID;Label;Category;Set
2019-01-11 15:08:05.200;0.0135;0.977;-0.071;-2.094.366.723;257.720.316;0.9388000000000002;B;bench;heavy;30
2019-01-11 15:08:05.400;-0.0014999999999999996;0.9704999999999999;-0.07949999999999999;-16.826;-0.8904;21.708;B;bench;heavy;30
2019-01-11 15:08:05.600;0.0013333333333333333;0.9716666666666667;-0.06433333333333334;526.942.212;-0.2559999999999999;-14.146;B;bench;heavy;30
2019-01-11 15:08:05.800;-0.024;0.957;-0.0735;8.061;-45.244;-2.073;B;bench;heavy;30
2019-01-11 15:08:06.000;-0.027999999999999997;0.9576666666666666;-0.115;2.439;-15.486;-36.098;B;bench;heavy;30
2019-01-11 15:08:06.200;-0.026000000000000002;0.965;-0.118;0.4634000000000002;52.194;-64.636;B;bench;heavy;30
2019-01-11 15:08:06.400;-0.048666666666666664;0.79;-0.14533333333333334;21.695;81.708;1.582.030.845;B;bench;heavy;30
2019-01-11 15:08:06.600;-0.16999999999999998;0.8995;-0.25;175.246;15.976;-175.854;B;bench;heavy;30
2019-01-11 15:08:06.800;-0.22266666666666668;0.907;-0.20433333333333334;-72.318;-13.536;-0.40260000000000007;B;bench;heavy;30
2019-01-11 15:08:07.000;-0.20450000000000002;0.9299999999999999;-0.14900000000000002;-28.683;-335.699.969;205.732;B;bench;heavy;30
2019-01-11 15:08:07.200;-0.205;1.894.902.443;-0.09500000000000001;-41.098;-93.172;-2.000.437.254;B;bench;heavy;30
2019-01-11 15:08:07.400;-0.1635;0.996;-0.11299999999999999;355.488;115.732;-172.074;B;bench;heavy;30
2019-01-11 15:08:07.600;-0.22066666666666668;0.904;-0.20833333333333334;48.902;-0.28040000000000004;-0.13399999999999998;B;bench;heavy;30
2019-01-11 15:08:07.800;-0.222;0.9464999999999999;-0.221;-1.061;210.608.125;113.536;B;bench;heavy;30
2019-01-11 15:08:08.000;-0.18433333333333335;0.9913333333333333;-0.19066666666666668;-605.675.524;-448.688.126;252.684;B;bench;heavy;30
;-0.07350000000000001;0.762;-0.054;995.631.108;-63.048;228.052;B;bench;heavy;30
2019-01-11 15:08:08.400;-0.011000000000000001;0.8506666666666667;-0.09433333333333332;120.852;-0.3536;-54.024;B;bench;heavy;30
2019-01-11 15:08:08.600;-0.0525;1.025;-0.0375;-65.366;-0.7194;0.3414;B;bench;heavy;30
2019-01-11 15:08:08.800;-0.065;0.9553333333333334;-0.025333333333333333;12.684;-30.246;-12.318;B;bench;heavy;30
2019-01-11 15:08:09.000;-0.0535;0.9655;-0.038500000000000006;516.243.461;1.864.474.629;2.061;B;bench;heavy;30
2019-01-11 15:08:09.200;-0.04066666666666666;0.9899999999999999;-0.034;28.538;-2.939;18.656;B;bench;heavy;30
2019-01-11 15:08:09.400;-0.0475;0.961;-0.042499999999999996;21.586;-1.512;0.3902;B;bench;heavy;30
2019-01-11 15:08:09.600;-0.054;0.9463333333333334;-0.06799999999999999;21.586;-2.046.451.709;-38.658;B;bench;heavy;30
2019-01-11 15:08:09.800;-0.0535;0.7685;-0.091;268.048;118.292;-22.305;B;bench;heavy;30
2019-01-11 15:08:10.000;-0.128;0.8453333333333334;-0.17066666666666666;279.146;50.732;423.686.146;B;bench;heavy;30
2019-01-11 15:08:10.200;-0.1915;0.9179999999999999;-0.2545;-19.026;-45.244;-0.8412;B;bench;heavy;30
;-0.17966666666666667;0.9666666666666667;-0.17;-313.658;1.445.117.948;200.366;B;bench;heavy;30
2019-01-11 15:08:10.600;-0.22;1.557;-0.1955;113.416;-5.061;-124.998;B;bench;heavy;30
2019-01-11 15:08:10.800;-0.18200000000000002;0.9276666666666668;-0.17200000000000001;199.268;0.26820000000000005;-15.756;B;bench;heavy;30
2019-01-11 15:08:11.000;-0.2195;0.904;-0.244;6.939;-26.586;-1.512.022.021;B;bench;heavy;30
2019-01-11 15:08:11.200;-0.225;0.9416666666666668;-0.24633333333333332;-86.586;-51.706;76.586;B;bench;heavy;30
2019-01-11 15:08:11.400;-0.193;0.986;-0.235;-26.0;-104.634;207.926;B;bench;heavy;30
2019-01-11 15:08:11.600;-0.10933333333333334;0.8886666666666666;-0.03166666666666667;-419.512;-49.878;271.826;B;bench;heavy;30
2019-01-11 15:08:11.800;-0.010499999999999999;0.6180000000000001;-0.0525;1.901.735.938;-6.939;-49.876;B;bench;heavy;30
2019-01-11 15:08:12.000;-0.06933333333333334;1.09;-0.009333333333333334;-1.665.368.061;0.14640000000000003;-1.214.971.905;B;bench;heavy;30
2019-01-11 15:08:12.200;-0.06;0.9235;-0.0235;1.827.553.278;0.09759999999999991;0.7926000000000001;B;bench;heavy;30
2019-01-11 15:08:12.400;-0.04466666666666667;0.975;-0.024333333333333332;477.970.429;0.41459999999999997;-18.186.245;B;bench;heavy;30
2019-01-11 15:08:12.600;-0.038;0.9764999999999999;-0.0495;15.854;-707.313.667;-0.20719999999999983;B;bench;heavy;30
2019-01-11 15:08:12.800;-0.041666666666666664;0.979;-0.047999999999999994;190.816.261;-15.976;-11.708;B;bench;heavy;30
2019-01-11 15:08:13.000;-0.051000000000000004;0.9675;-0.048;0.2928;1.425.580.035;-0.3416;B;bench;heavy;30
2019-01-11 15:08:13.200;-0.058666666666666666;0.9693333333333333;-0.052333333333333336;25.976;-36.708;-0.6952;B;bench;heavy;30
2019-01-11 15:08:13.400;-0.05499999999999999;0.872;-0.07;119.756;85.488;-11.561;B;bench;heavy;30
2019-01-11 15:08:13.600;-0.10033333333333334;0.781;-0.13466666666666668;-990.814.211;-1.292.152.833;-332.684;B;bench;heavy;30
